Table 1 
Constraints on Parameters of the Hard X-Ray Continuum Model


Target Name	${\chi }^{2}/\nu $	${p}_{\mathrm{null}}$ /%	Gamma	${E}_{\mathrm{cut}}$/keV	tau _e ^a	Notes ^b	
NGC 262	503.0/464	10	1.66 +or- 0.04	${170}_{-30}^{+40}$	2.1	RL, 1.9	
ESO 195-IG021	224.7/249	86	1.88 +or- 0.09	$\gt 230$	1.0	cdots	
NGC 454 E	56.2/79	98	${1.6}_{-0.5}^{+0.3}$	>50	5.4	cdots	
NGC 513	126.5/140	79	${1.77}_{-0.15}^{+0.03}$	>230	1.2	cdots	
NGC 612	102.1/126	94	${1.47}_{-0.09}^{+0.25}$	${170}_{-50}^{+u}$	2.8	RL	
2MASX J0140	195.1/235	97	1.59 +or- 0.09	${70}_{-20}^{+40}$	4.4	cdots	
MCG -01-05-047	98.9/114	84	1.7 +or- 0.2	${200}_{-100}^{+u}$	1.8	cdots	
NGC 788	121.1/149	96	1.7 +or- 0.2	${200}_{-100}^{+u}$	1.4	cdots	
ESO 416-G002	147.3/156	68	1.68 +or- 0.03	$\gt 480$	0.7	1.9	
NGC 1052	179.9/211	94	1.36 +or- 0.09	${80}_{-20}^{+40}$	5.4	RL, 1.9	
2MFGC 2280	24.9/37	94	1.4 +or- 0.5	${130}_{-80}^{+u}$	3.8	cdots	
NGC 1194	163.8/175	72	1.5 +or- 0.2	${140}_{-60}^{+100}$	3.3	cdots	
NGC 1229	112.8/100	18	${1.6}_{-0.4}^{+0.1}$	$\gt 82.4$	3.7	C	
MCG +00-09-042	249.1/248	47	${2.07}_{-0.10}^{+0.03}$	$\gt 190$	0.9	cdots	
NGC 1365	436.8/428	37	1.90 +or- 0.08	${290}_{-100}^{+200}$	0.8	cdots	
2MASX J0356	177.9/155	10	${1.69}_{-0.09}^{+0.04}$	$\gt 240$	1.4	cdots	
3C 105	90.1/92	54	1.8 +or- 0.3	$\gt 70$	3.5	C, RL	
2MASX J0423	115.3/119	58	${1.4}_{-0.4}^{+0.2}$	${70}_{-30}^{+40}$	5.5	cdots	
MCG +03-13-001	93.3/88	33	${1.9}_{-0.4}^{+0.1}$	$\gt 60$	3.4	C, 1.9	
CGCG 420-015	267.9/244	14	1.8 +or- 0.2	${190}_{-90}^{+u}$	1.4	C	
ESO 033-G002	379.5/428	96	2.20 +or- 0.07	$\gt 460$	0.4	cdots	
LEDA 178130	374.5/384	63	${1.68}_{-0.06}^{+0.08}$	${350}_{-150}^{+u}$	0.9	cdots	
2MASX J0508	352.7/321	11	1.71 +or- 0.07	${160}_{-60}^{+200}$	2.1	1.9	
ESO 553-G043	314.1/327	69	1.71 +or- 0.06	$\gt 190$	1.8	...	
NGC 2110	687.2/661	23	1.64 +or- 0.02	${300}_{-30}^{+50}$	1.1	A	
ESO 005-G004	60.9/56	30	${1.83}_{-0.05}^{+0.18}$	$\gt 140$	2.1	B	
Mrk 3	539.3/541	51	1.52 +or- 0.08	${150}_{-30}^{+60}$	2.8	1.9	
ESO 121-IG028	156.3/186	94	${1.87}_{-0.17}^{+0.09}$	$\gt 150$	1.7	cdots	
LEDA 549777	98.5/104	64	1.4 +or- 0.1	$\gt 90$	4.4	cdots	
