spectral_index,ecut_keV,is_upper_limit,spectral_index_err_low,spectral_index_err_high,ecut_err_low,ecut_err_high,label
1.66,170.0,False,0.04,0.04,30.0,40.0,NGC 262
1.88,230.0,True,0.09,0.09,,,ESO 195-IG021
1.6,50.0,True,0.5,0.3,,,NGC 454 E
1.77,230.0,True,0.15,0.03,,,NGC 513
1.47,170.0,False,0.09,0.25,50.0,,NGC 612
1.59,70.0,False,0.09,0.09,20.0,40.0,2MASX J0140
1.7,200.0,False,0.2,0.2,100.0,,MCG -01-05-047
1.7,200.0,False,0.2,0.2,100.0,,NGC 788
1.68,480.0,True,0.03,0.03,,,ESO 416-G002
1.36,80.0,False,0.09,0.09,20.0,40.0,NGC 1052
1.4,130.0,False,0.5,0.5,80.0,,2MFGC 2280
1.5,140.0,False,0.2,0.2,60.0,100.0,NGC 1194
1.6,82.4,True,0.4,0.1,,,NGC 1229
2.07,190.0,True,0.1,0.03,,,MCG +00-09-042
1.9,290.0,False,0.08,0.08,100.0,200.0,NGC 1365
1.69,240.0,True,0.09,0.04,,,2MASX J0356
1.8,70.0,True,0.3,0.3,,,3C 105
1.4,70.0,False,0.4,0.2,30.0,40.0,2MASX J0423
1.9,60.0,True,0.4,0.1,,,MCG +03-13-001
1.8,190.0,False,0.2,0.2,90.0,,CGCG 420-015
2.2,460.0,True,0.07,0.07,,,ESO 033-G002
1.68,350.0,False,0.06,0.08,150.0,,LEDA 178130
1.71,160.0,False,0.07,0.07,60.0,200.0,2MASX J0508
1.71,190.0,True,0.06,0.06,,,ESO 553-G043
1.64,300.0,False,0.02,0.02,30.0,50.0,NGC 2110
1.83,140.0,True,0.05,0.18,,,ESO 005-G004
1.52,150.0,False,0.08,0.08,30.0,60.0,Mrk 3
1.87,150.0,True,0.17,0.09,,,ESO 121-IG028
1.4,90.0,True,0.1,0.1,,,LEDA 549777
1.6,90.0,False,0.1,0.1,30.0,80.0,LEDA 511628
1.8,110.0,True,0.3,0.1,,,MCG +06-16-028
1.3,60.0,False,0.2,0.2,20.0,40.0,IRAS 07378-3136
1.5,100.0,False,0.2,0.2,40.0,110.0,UGC 3995 A
1.6,90.0,False,0.1,0.1,20.0,40.0,Mrk 1210
1.4,110.0,False,0.1,0.1,30.0,60.0,MCG -01-22-006
1.78,110.0,True,0.33,0.05,,,CGCG 150-014
1.97,140.0,True,0.04,0.16,,,MCG +11-11-032
