#,Swift_BAT_name,BAT_ra,BAT_dec,SNR,COUNTERPART_NAME,OTHER_NAME,CTPT_RA,CTPT_DEC,Flux_BAT,FLUX_LO,FLUX_HI,CONTA,index_BAT,GAMM2,GAMM3,CHI_SQ_R,REDSHIF,LUM,ASSOC_STREN,CL2,Type_BAT
1,SWIFTJ0001.0-0708,0.228,-7.164,7.73,2MASXJ00004876-0709117,,0.2032,-7.1532,13.49,11.10,16.01,0.0,2.21,1.80,2.70,1.30,0.0375,43.64,,50,Sy1.9
2,SWIFTJ0001.6-7701,0.445,-77.000,6.32,Fairall1203,,0.4419,-76.9540,13.23,10.47,15.97,0.0,1.62,1.22,2.04,2.20,0.0584,44.03,,50,Sy1.9
3,SWIFTJ0002.5+0323,0.613,3.365,5.50,NGC7811,,0.6103,3.3519,10.79,7.89,13.64,0.0,1.95,1.38,2.66,0.70,0.0255,43.20,,40,Sy1.5
4,SWIFTJ0003.3+2737,0.856,27.643,5.98,2MASXJ00032742+2739173,,0.8643,27.6548,10.29,7.75,12.77,0.0,2.12,1.61,2.73,0.40,0.0396,43.58,,50,Sy2
5,SWIFTJ0005.0+7021,0.934,70.358,8.52,2MASXJ00040192+7019185,,1.0082,70.3217,13.41,11.09,15.70,0.0,2.07,1.68,2.52,1.00,0.0960,44.49,,50,Sy1.9
6,SWIFTJ0006.2+2012,1.596,20.242,10.42,Mrk335,,1.5813,20.2029,15.97,13.70,18.44,0.0,2.31,1.97,2.71,0.60,0.0258,43.38,,40,Sy1.2
7,SWIFTJ0009.4-0037,2.305,-0.639,4.26,2MASXJ00091156-0036551,,2.2982,-0.6152,10.17,7.09,13.58,0.0,1.68,1.00,2.43,0.30,0.0733,44.13,,50,Sy2
8,SWIFTJ0010.5+1057,2.616,10.969,14.02,Mrk1501,,2.6292,10.9749,30.34,27.53,33.40,0.0,1.82,1.61,2.04,0.60,0.0893,44.78,,80,BeamedAGN
9,SWIFTJ0017.1+8134,4.483,81.569,8.57,[HB89]0014+813,,4.2853,81.5856,11.39,9.52,13.47,0.0,2.42,1.99,2.95,0.70,3.3660,48.07,,80,BeamedAGN
10,SWIFTJ0021.2-1909,5.289,-19.162,10.37,2MASXJ00210753-1910056,,5.2814,-19.1682,19.60,17.51,22.34,0.0,2.00,1.70,2.33,0.70,0.0956,44.65,,50,Sy2
11,SWIFTJ0023.2+6142,5.830,61.663,9.90,IGRJ00234+6141,,5.7000,61.6600,14.05,12.46,16.14,0.0,2.33,2.00,2.72,0.70,,,,90,CV
12,SWIFTJ0025.2+6410,6.326,64.142,11.13,TychoSNR,,6.2840,64.1650,13.07,11.86,14.69,0.0,3.03,2.60,3.57,3.10,,,,160,SNR
13,SWIFTJ0025.8+6818,6.432,68.403,9.34,2MASXJ00253292+6821442,,6.3870,68.3623,19.57,17.48,22.30,0.0,1.61,1.27,1.96,0.60,0.0120,42.80,,50,Sy2
14,SWIFTJ0026.5-5308,6.709,-53.151,7.04,2MASXJ00264073-5309479,,6.6695,-53.1633,13.64,11.61,16.30,0.0,1.65,1.18,2.17,1.70,0.0629,44.11,,50,Sy1.9
15,SWIFTJ0028.9+5917,7.162,59.266,47.10,V709Cas,,7.2036,59.2894,76.62,75.00,78.83,0.0,2.57,2.51,2.64,13.60,,,,90,CV
