Name,previous_bin_count,current_bin_count,new_point_mjd,new_point_flux,new_point_flux_error,previous_point_flux,average_flux_full_series,previous_quiescent_background,previous_quiescent_background_error,current_quiescent_background,current_quiescent_background_error,previous_detection_threshold,current_detection_threshold,flare_flux_threshold,above_previous_flux,above_flare_flux_threshold,potential_flare_point,consecutive_potential_flare_points,flare_active,flare_start_mjd,flare_end_mjd,confirmed_sigma_delta,confirmed_sigma_threshold,confirmed_start_trigger,confirmed_flare_active,confirmed_flare_start_mjd,confirmed_flare_end_mjd,cadence,lookback_weeks,detection_method,quiescent_background_origin,quiescent_background_cache_path,flare_duration_seconds,streak_mean_flux,source_counts_0p2_5MeV,background_counts,mdp99_percent,mdp99_available,mdp99_reason
4FGL J1615.6+2130,85,86,59450.00001157408,1.12e-07,4.33e-08,9.08e-08,7.30532456140351e-08,7.274738317757009e-08,3.865508336327414e-09,7.274738317757009e-08,3.865508336327414e-09,8.565299999999999e-08,8.565299999999999e-08,2.1824214953271028e-07,True,False,False,0,False,,,0.902936060536071,2.0,False,False,,,weekly,10.0,both,cache,/home/lkoo/projects/AutomationDetection/DownloadedLC/incremental/quiescent_background_cache.csv,,,,,,False,not_in_flare_streak
4FGL J1615.6+2130,86,87,59457.00001157408,6.33e-08,3.79e-08,1.12e-07,7.30532456140351e-08,7.274738317757009e-08,3.865508336327414e-09,7.274738317757009e-08,3.865508336327414e-09,8.565299999999999e-08,8.565299999999999e-08,2.1824214953271028e-07,False,False,False,0,False,,,-0.2479848384538711,2.0,False,False,,,weekly,10.0,both,cache,/home/lkoo/projects/AutomationDetection/DownloadedLC/incremental/quiescent_background_cache.csv,,,,,,False,not_in_flare_streak
4FGL J1615.6+2130,87,88,59506.00001157408,6.74e-08,3.37e-08,6.33e-08,7.30532456140351e-08,7.274738317757009e-08,3.865508336327414e-09,7.274738317757009e-08,3.865508336327414e-09,8.565299999999999e-08,8.565299999999999e-08,2.1824214953271028e-07,True,False,False,0,False,,,-0.15764240516048164,2.0,False,False,,,weekly,10.0,both,cache,/home/lkoo/projects/AutomationDetection/DownloadedLC/incremental/quiescent_background_cache.csv,,,,,,False,not_in_flare_streak
4FGL J1615.6+2130,88,89,59513.00001157408,5.84e-08,3.6e-08,6.74e-08,7.30532456140351e-08,7.274738317757009e-08,3.865508336327414e-09,7.274738317757009e-08,3.865508336327414e-09,8.565299999999999e-08,8.565299999999999e-08,2.1824214953271028e-07,False,False,False,0,False,,,-0.39626063649405757,2.0,False,False,,,weekly,10.0,both,cache,/home/lkoo/projects/AutomationDetection/DownloadedLC/incremental/quiescent_background_cache.csv,,,,,,False,not_in_flare_streak
4FGL J1615.6+2130,89,90,59590.00001157408,2.9e-08,2.25e-08,5.84e-08,7.30532456140351e-08,7.274738317757009e-08,3.865508336327414e-09,7.274738317757009e-08,3.865508336327414e-09,8.565299999999999e-08,8.565299999999999e-08,2.1824214953271028e-07,False,False,False,0,False,,,-1.9162543122367421,2.0,False,False,,,weekly,10.0,both,cache,/home/lkoo/projects/AutomationDetection/DownloadedLC/incremental/quiescent_background_cache.csv,,,,,,False,not_in_flare_streak
4FGL J1615.6+2130,90,91,59611.00001157408,6.74e-08,3.23e-08,2.9e-08,7.30532456140351e-08,7.274738317757009e-08,3.865508336327414e-09,7.274738317757009e-08,3.865508336327414e-09,8.565299999999999e-08,8.565299999999999e-08,2.1824214953271028e-07,True,False,False,0,False,,,-0.164380701198344,2.0,False,False,,,weekly,10.0,both,cache,/home/lkoo/projects/AutomationDetection/DownloadedLC/incremental/quiescent_background_cache.csv,,,,,,False,not_in_flare_streak
4FGL J1615.6+2130,91,92,59632.00001157408,5.76e-08,3.59e-08,6.74e-08,7.30532456140351e-08,7.274738317757009e-08,3.865508336327414e-09,7.274738317757009e-08,3.865508336327414e-09,8.565299999999999e-08,8.565299999999999e-08,2.1824214953271028e-07,False,False,False,0,False,,,-0.41950785019994036,2.0,False,False,,,weekly,10.0,both,cache,/home/lkoo/projects/AutomationDetection/DownloadedLC/incremental/quiescent_background_cache.csv,,,,,,False,not_in_flare_streak
4FGL J1615.6+2130,92,93,59688.00001157408,1.02e-07,5.86e-08,5.76e-08,7.30532456140351e-08,7.274738317757009e-08,3.865508336327414e-09,7.274738317757009e-08,3.865508336327414e-09,8.565299999999999e-08,8.565299999999999e-08,2.1824214953271028e-07,True,False,False,0,False,,,0.4981088816587308,2.0,False,False,,,weekly,10.0,both,cache,/home/lkoo/projects/AutomationDetection/DownloadedLC/incremental/quiescent_background_cache.csv,,,,,,False,not_in_flare_streak
4FGL J1615.6+2130,93,94,59800.00001157408,8.92e-08,5.13e-08,1.02e-07,7.30532456140351e-08,7.274738317757009e-08,3.865508336327414e-09,7.274738317757009e-08,3.865508336327414e-09,8.565299999999999e-08,8.565299999999999e-08,2.1824214953271028e-07,False,False,False,0,False,,,0.31980716604446185,2.0,False,False,,,weekly,10.0,both,cache,/home/lkoo/projects/AutomationDetection/DownloadedLC/incremental/quiescent_background_cache.csv,,,,,,False,not_in_flare_streak
4FGL J1615.6+2130,94,95,59947.00001157408,7.74e-08,3.58e-08,8.92e-08,7.30532456140351e-08,7.274738317757009e-08,3.865508336327414e-09,7.274738317757009e-08,3.865508336327414e-09,8.565299999999999e-08,8.565299999999999e-08,2.1824214953271028e-07,False,False,False,0,False,,,0.1292103392184225,2.0,False,False,,,weekly,10.0,both,cache,/home/lkoo/projects/AutomationDetection/DownloadedLC/incremental/quiescent_background_cache.csv,,,,,,False,not_in_flare_streak
4FGL J1615.6+2130,95,96,59982.00001157408,7.7e-08,3.94e-08,7.74e-08,7.30532456140351e-08,7.274738317757009e-08,3.865508336327414e-09,7.274738317757009e-08,3.865508336327414e-09,8.565299999999999e-08,8.565299999999999e-08,2.1824214953271028e-07,False,False,False,0,False,,,0.10741869884713899,2.0,False,False,,,weekly,10.0,both,cache,/home/lkoo/projects/AutomationDetection/DownloadedLC/incremental/quiescent_background_cache.csv,,,,,,False,not_in_flare_streak
4FGL J1615.6+2130,96,97,60038.00001157408,7.58e-08,3.9e-08,7.7e-08,7.30532456140351e-08,7.274738317757009e-08,3.865508336327414e-09,7.274738317757009e-08,3.865508336327414e-09,8.565299999999999e-08,8.565299999999999e-08,2.1824214953271028e-07,False,False,False,0,False,,,0.07789056663145053,2.0,False,False,,,weekly,10.0,both,cache,/home/lkoo/projects/AutomationDetection/DownloadedLC/incremental/quiescent_background_cache.csv,,,,,,False,not_in_flare_streak
4FGL J1615.6+2130,97,98,60059.00001157408,6.54e-08,3.92e-08,7.58e-08,7.30532456140351e-08,7.274738317757009e-08,3.865508336327414e-09,7.274738317757009e-08,3.865508336327414e-09,8.565299999999999e-08,8.565299999999999e-08,2.1824214953271028e-07,False,False,False,0,False,,,-0.1865285445786842,2.0,False,False,,,weekly,10.0,both,cache,/home/lkoo/projects/AutomationDetection/DownloadedLC/incremental/quiescent_background_cache.csv,,,,,,False,not_in_flare_streak
4FGL J1615.6+2130,98,99,60108.00001157408,8.06e-08,5.02e-08,6.54e-08,7.30532456140351e-08,7.274738317757009e-08,3.865508336327414e-09,7.274738317757009e-08,3.865508336327414e-09,8.565299999999999e-08,8.565299999999999e-08,2.1824214953271028e-07,True,False,False,0,False,,,0.15596492936075543,2.0,False,False,,,weekly,10.0,both,cache,/home/lkoo/projects/AutomationDetection/DownloadedLC/incremental/quiescent_background_cache.csv,,,,,,False,not_in_flare_streak
4FGL J1615.6+2130,99,100,60136.00001157408,6.94e-08,3.76e-08,8.06e-08,7.30532456140351e-08,7.274738317757009e-08,3.865508336327414e-09,7.274738317757009e-08,3.865508336327414e-09,8.565299999999999e-08,8.565299999999999e-08,2.1824214953271028e-07,False,False,False,0,False,,,-0.08855938244083891,2.0,False,False,,,weekly,10.0,both,cache,/home/lkoo/projects/AutomationDetection/DownloadedLC/incremental/quiescent_background_cache.csv,,,,,,False,not_in_flare_streak
