Name,cadence,percent,quiescent_background,quiescent_background_error,detection_threshold,points_used,source_time_end_mjd,updated_at_utc,lookback_weeks
4FGL J2253.9+1609,weekly,0.3,1.1438778896882491e-06,2.9420022568579806e-09,1.2571582e-05,841,60850.00001157408,2026-05-11T19:22:55.755238+00:00,
4FGL J2211.2-1325,weekly,0.3,1.0748915094339625e-07,3.7176212787754556e-09,2.7866e-07,235,60843.00001157408,2026-05-11T20:08:35.250562+00:00,
4FGL J0538.8-4405,weekly,0.3,1.371547932618683e-07,1.366252937315204e-09,2.58542e-07,847,60850.00001157408,2026-05-11T20:08:45.768149+00:00,
4FGL J1800.6+7828,weekly,0.3,1.1545988564167724e-07,1.0237996514049303e-09,7.996549999999999e-07,794,60850.00001157408,2026-05-11T20:08:55.377254+00:00,
4FGL J1642.9+3948,weekly,0.3,1.1904800693240905e-07,1.659429624918306e-09,5.656299999999999e-07,585,60850.00001157408,2026-05-11T20:09:32.397688+00:00,
4FGL J1626.0-2950,weekly,0.3,1.451493142857143e-07,3.91450097278394e-09,2.79116e-07,363,60829.00001157408,2026-05-11T20:09:40.733328+00:00,
4FGL J1229.0+0202,weekly,0.3,2.8227226562500005e-07,2.240228609865184e-09,1.3327799999999998e-06,783,60850.00001157408,2026-05-11T20:10:07.618224+00:00,
4FGL J0403.9-3605,weekly,0.3,1.846012176560122e-07,1.6332238745237171e-09,9.4168e-07,672,60843.00001157408,2026-05-11T20:10:54.149744+00:00,
4FGL J2327.5+0939,weekly,0.3,8.600152671755728e-08,2.685925441583016e-09,1.75084e-07,274,60850.00001157408,2026-05-11T20:11:03.638863+00:00,
4FGL J1159.5+2914,weekly,0.3,2.271321126760563e-07,1.69649524009573e-09,8.973599999999999e-07,746,60850.00001157408,2026-05-11T20:11:38.740601+00:00,
4FGL J1129.8-1447,weekly,0.3,1.957541547277937e-07,2.9776774266436e-09,6.5514e-07,370,60850.00001157408,2026-05-11T20:11:48.231647+00:00,
4FGL J0217.4+7352,weekly,0.3,1.0625224913494809e-07,2.8712001824176e-09,2.6194e-07,293,60689.00001157408,2026-05-11T20:12:15.386120+00:00,
4FGL J2202.7+4216,weekly,0.3,3.679902348578493e-07,1.8959848316742224e-09,1.20236e-06,860,60850.00001157408,2026-05-11T20:13:01.537387+00:00,
4FGL J2232.6+1143,weekly,0.3,4.960416458852868e-07,2.429967564715364e-09,3.61134e-06,822,60850.00001157408,2026-05-11T20:13:10.984837+00:00,
4FGL J2211.2-1325,weekly,0.3,1.4196363636363637e-07,1.2887930400184508e-08,3.1233e-07,28,60843.00001157408,2026-06-15T13:21:38.078398+00:00,30.0
4FGL J0538.8-4405,weekly,0.3,1.7035000000000001e-07,1.1043320980194541e-08,1.6151e-07,30,60850.00001157408,2026-06-15T13:21:49.944224+00:00,30.0
4FGL J1800.6+7828,weekly,0.3,7.043684210526316e-08,5.411822705891242e-09,9.705000000000001e-08,30,60850.00001157408,2026-06-15T13:22:01.300315+00:00,30.0
4FGL J2253.9+1609,weekly,0.3,4.0508000000000013e-07,1.1503060436609209e-08,3.695e-07,30,60850.00001157408,2026-06-15T13:22:15.072895+00:00,30.0
4FGL J1642.9+3948,weekly,0.3,1.4578000000000005e-07,7.80719767912322e-09,1.6902000000000001e-07,30,60850.00001157408,2026-06-15T13:22:39.160347+00:00,30.0
4FGL J1626.0-2950,weekly,0.3,1.33925e-07,2.8114409117034632e-08,1.9081000000000005e-07,17,60829.00001157408,2026-06-15T13:22:50.711319+00:00,30.0
4FGL J1229.0+0202,weekly,0.3,4.919375e-07,1.7757273474429423e-08,6.885e-07,30,60850.00001157408,2026-06-15T13:23:06.323702+00:00,30.0
4FGL J0044.2-8424,weekly,0.3,6.59e-08,1.0500784494503256e-08,7.8892e-08,94,60745.00001157408,2026-06-15T13:23:07.989184+00:00,
4FGL J0224.2+0700,weekly,0.3,6.846867924528302e-08,6.177233836187604e-09,8.847900000000002e-08,79,60794.00001157408,2026-06-15T13:23:11.960958+00:00,
4FGL J0227.2+3928,weekly,0.3,7.06595238095238e-08,4.176901155933185e-09,5.896e-08,96,60619.00001157408,2026-06-15T13:23:20.321910+00:00,
4FGL J0625.8-5441,weekly,0.3,5.85794117647059e-08,3.915351976056344e-09,4.632e-08,114,60787.00001157408,2026-06-15T13:23:23.807065+00:00,
4FGL J0836.2+2141,weekly,0.3,7.518891666666669e-08,4.208223770034311e-09,9.7459e-08,125,60773.00001157408,2026-06-15T13:23:27.959502+00:00,
4FGL J0403.9-3605,weekly,0.3,6.32769230769231e-08,8.402468660568555e-09,8.73e-08,18,60843.00001157408,2026-06-15T13:23:28.389606+00:00,30.0
4FGL J0920.3-0443,weekly,0.3,6.858e-08,7.425723774097629e-09,6.187e-08,64,60801.00001157408,2026-06-15T13:23:32.395337+00:00,
4FGL J1248.9+4840,weekly,0.3,5.2084107142857145e-08,3.9464456036326555e-09,5.0067e-08,80,60773.00001157408,2026-06-15T13:23:36.850397+00:00,
4FGL J2327.5+0939,weekly,0.3,8.403333333333335e-08,1.2281640769864588e-08,9.778e-08,11,60850.00001157408,2026-06-15T13:23:37.789050+00:00,30.0
4FGL J1615.6+2130,weekly,0.3,7.274738317757009e-08,3.865508336327414e-09,8.565299999999999e-08,114,60815.00001157408,2026-06-15T13:23:37.935497+00:00,
4FGL J1814.4+2953,weekly,0.3,8.21251724137931e-08,5.534703201515961e-09,6.0942e-08,86,60780.00001157408,2026-06-15T13:23:41.821887+00:00,
4FGL J2143.5+1743,weekly,0.3,1.2024050359712233e-07,2.2779194531120757e-09,1.98983e-07,548,60745.00001157408,2026-06-15T13:23:45.851876+00:00,
4FGL J1159.5+2914,weekly,0.3,3.82e-07,1.3383963351713126e-08,5.971e-07,30,60850.00001157408,2026-06-15T13:23:50.955360+00:00,30.0
4FGL J1129.8-1447,weekly,0.3,2.548571428571429e-07,1.2576310867711656e-08,3.393000000000001e-07,30,60850.00001157408,2026-06-15T13:23:59.308817+00:00,30.0
4FGL J2229.7-0832,weekly,0.3,1.0884447004608296e-07,2.180698083305535e-09,1.9755000000000002e-07,495,60843.00001157408,2026-06-15T13:24:06.378163+00:00,
4FGL J2147.3-7536,weekly,0.3,1.376379603399434e-07,2.347284246964239e-09,4.06071e-07,373,60633.00001157408,2026-06-15T13:24:10.184826+00:00,
4FGL J0217.4+7352,weekly,0.3,1.191842105263158e-07,1.0950705456727436e-08,2.7951e-07,22,60689.00001157408,2026-06-15T13:24:12.340830+00:00,30.0
4FGL J1512.8-0906,weekly,0.3,4.602754498714653e-07,2.583709501790036e-09,1.96475e-06,822,60850.00001157408,2026-06-15T13:24:26.052042+00:00,
4FGL J1256.1-0547,weekly,0.3,5.277424321133413e-07,2.458417756546901e-09,3.992631999999999e-06,855,60850.00001157408,2026-06-15T13:24:30.380066+00:00,
4FGL J2202.7+4216,weekly,0.3,2.996071428571429e-07,8.561805098215768e-09,5.819e-07,30,60850.00001157408,2026-06-15T13:24:32.406244+00:00,30.0
4FGL J2232.6+1143,weekly,0.3,3.751538461538462e-07,1.493847245148156e-08,5.437e-07,30,60850.00001157408,2026-06-15T13:24:38.213598+00:00,30.0
4FGL J1224.9+2122,weekly,0.3,2.5574414159292044e-07,2.0864386977930582e-09,1.575829e-06,584,60850.00001157408,2026-06-15T13:24:40.058486+00:00,
4FGL J1153.4+4931,weekly,0.3,7.150343023255815e-08,2.364903049575933e-09,2.91907e-07,176,60836.00001157408,2026-06-15T13:24:44.148914+00:00,
4FGL J0841.3+7053,weekly,0.3,1.213746034816248e-07,1.5405174851430847e-09,7.81946e-07,525,60843.00001157408,2026-06-15T13:24:48.191088+00:00,
4FGL J0530.9+1332,weekly,0.3,8.656048076923078e-08,5.418796781373438e-09,1.24862e-07,182,60850.00001157408,2026-06-15T13:24:52.151630+00:00,
4FGL J2151.8-3027,weekly,0.3,1.270402624671916e-07,2.591760479723159e-09,4.16121e-07,390,60850.00001157408,2026-06-15T13:25:04.525630+00:00,
4FGL J1357.1+1921,weekly,0.3,7.150588235294117e-08,5.7441688370640906e-09,6.838999999999999e-08,117,60731.00001157408,2026-06-15T13:25:05.848869+00:00,
4FGL J1332.0-0509,weekly,0.3,1.419971002710027e-07,2.565788147836124e-09,9.23849e-07,372,60850.00001157408,2026-06-15T13:25:14.097296+00:00,
4FGL J1044.6+8053,weekly,0.3,5.55748406374502e-08,1.709918998901478e-09,1.425405e-07,253,60836.00001157408,2026-06-15T13:25:31.031451+00:00,
4FGL J0539.9-2839,weekly,0.3,8.209742774566475e-08,2.0594214357236827e-09,1.99589e-07,384,60843.00001157408,2026-06-15T13:25:35.242553+00:00,
4FGL J1941.3-6210,weekly,0.3,9.473210084033614e-08,2.1456789835882326e-09,2.09757e-07,502,60843.00001157408,2026-06-15T13:25:40.777749+00:00,
4FGL J1849.2+6705,weekly,0.3,6.584062068965519e-08,1.700383931244211e-09,1.71602e-07,311,60843.00001157408,2026-06-15T13:25:44.926628+00:00,
4FGL J2056.2-4714,weekly,0.3,1.2867992945326278e-07,1.790266510567173e-09,2.876470000000001e-07,637,60787.00001157408,2026-06-15T13:25:49.238282+00:00,
4FGL J1740.5+5211,weekly,0.3,7.57913729508197e-08,1.367472415519374e-09,1.94595e-07,506,60843.00001157408,2026-06-15T13:25:53.638496+00:00,
4FGL J0044.2-8424,weekly,0.3,,,,2,60745.00001157408,2026-06-15T13:27:31.314429+00:00,30.0
4FGL J0224.2+0700,weekly,0.3,,,1.403e-07,4,60794.00001157408,2026-06-15T13:27:32.379772+00:00,30.0
4FGL J0227.2+3928,weekly,0.3,,,4.345e-08,4,60619.00001157408,2026-06-15T13:27:35.913349+00:00,30.0
4FGL J0625.8-5441,weekly,0.3,,,,2,60787.00001157408,2026-06-15T13:27:39.299205+00:00,30.0
4FGL J0836.2+2141,weekly,0.3,,,5.651e-08,5,60773.00001157408,2026-06-15T13:27:42.708232+00:00,30.0
4FGL J0920.3-0443,weekly,0.3,,,4.524e-08,5,60801.00001157408,2026-06-15T13:27:46.171858+00:00,30.0
4FGL J1248.9+4840,weekly,0.3,,,3.2727e-08,4,60773.00001157408,2026-06-15T13:27:49.719920+00:00,30.0
4FGL J1615.6+2130,weekly,0.3,,,4.408999999999999e-08,8,60815.00001157408,2026-06-15T13:27:53.117434+00:00,30.0
4FGL J1814.4+2953,weekly,0.3,,,9.18e-08,3,60780.00001157408,2026-06-15T13:27:56.660309+00:00,30.0
4FGL J2143.5+1743,weekly,0.3,,,3.2783e-08,5,60745.00001157408,2026-06-15T13:28:00.226332+00:00,30.0
4FGL J2229.7-0832,weekly,0.3,,,5.8e-08,12,60843.00001157408,2026-06-15T13:28:18.724860+00:00,30.0
4FGL J2147.3-7536,weekly,0.3,,,4.493e-08,5,60633.00001157408,2026-06-15T13:28:22.365605+00:00,30.0
4FGL J1512.8-0906,weekly,0.3,,,9.425000000000001e-08,25,60850.00001157408,2026-06-15T13:28:37.974209+00:00,30.0
4FGL J1256.1-0547,weekly,0.3,,3.46e-08,1.2714999999999997e-07,29,60850.00001157408,2026-06-15T13:28:41.917707+00:00,30.0
4FGL J1224.9+2122,weekly,0.3,,,3.706e-08,4,60850.00001157408,2026-06-15T13:28:53.888484+00:00,30.0
4FGL J1153.4+4931,weekly,0.3,,,4.048e-08,3,60836.00001157408,2026-06-15T13:28:57.993299+00:00,30.0
4FGL J0841.3+7053,weekly,0.3,,,3.1265e-08,7,60843.00001157408,2026-06-15T13:29:02.330281+00:00,30.0
4FGL J0530.9+1332,weekly,0.3,,,8.412e-08,5,60850.00001157408,2026-06-15T13:29:03.827461+00:00,30.0
4FGL J2151.8-3027,weekly,0.3,,,1.003e-07,10,60850.00001157408,2026-06-15T13:29:15.075935+00:00,30.0
4FGL J1357.1+1921,weekly,0.3,,,8.687e-08,7,60731.00001157408,2026-06-15T13:29:18.852501+00:00,30.0
4FGL J1332.0-0509,weekly,0.3,,,1.2794999999999998e-07,8,60850.00001157408,2026-06-15T13:29:22.658206+00:00,30.0
4FGL J1044.6+8053,weekly,0.3,,,2.7266e-08,11,60836.00001157408,2026-06-15T13:29:38.493232+00:00,30.0
4FGL J0539.9-2839,weekly,0.3,,,7.221e-08,8,60843.00001157408,2026-06-15T13:29:42.021007+00:00,30.0
4FGL J1941.3-6210,weekly,0.3,,,1.2932e-07,7,60843.00001157408,2026-06-15T13:29:49.445801+00:00,30.0
4FGL J1849.2+6705,weekly,0.3,,,3.826e-08,11,60843.00001157408,2026-06-15T13:29:53.302358+00:00,30.0
4FGL J2056.2-4714,weekly,0.3,,,,2,60787.00001157408,2026-06-15T13:29:57.149864+00:00,30.0
4FGL J1740.5+5211,weekly,0.3,,,7.054e-08,29,60843.00001157408,2026-06-15T13:30:00.978341+00:00,30.0
4FGL J2211.2-1325,weekly,0.3,1.881777777777778e-07,1.4502734224965996e-08,3.1233e-07,20,60843.00001157408,2026-06-15T13:48:26.013937+00:00,20.0
4FGL J0538.8-4405,weekly,0.3,1.8411764705882352e-07,7.707115519416433e-09,2.019e-07,21,60850.00001157408,2026-06-15T13:48:26.292138+00:00,20.0
4FGL J1800.6+7828,weekly,0.3,4.471111111111112e-08,7.317882207305609e-09,7.155e-08,21,60850.00001157408,2026-06-15T13:48:30.419240+00:00,20.0
4FGL J2253.9+1609,weekly,0.3,4.041875000000001e-07,1.4579250079204084e-08,3.695e-07,21,60850.00001157408,2026-06-15T13:48:34.632871+00:00,20.0
4FGL J1642.9+3948,weekly,0.3,1.4063636363636366e-07,1.017773645976572e-08,1.889e-07,21,60850.00001157408,2026-06-15T13:48:50.735812+00:00,20.0
4FGL J1229.0+0202,weekly,0.3,4.71e-07,2.098689080828355e-08,6.195e-07,21,60850.00001157408,2026-06-15T13:49:07.306182+00:00,20.0
4FGL J0403.9-3605,weekly,0.3,6.107142857142859e-08,9.294916285260452e-09,8.73e-08,12,60843.00001157408,2026-06-15T13:49:26.708922+00:00,20.0
4FGL J2327.5+0939,weekly,0.3,8.403333333333335e-08,1.2281640769864588e-08,9.778e-08,11,60850.00001157408,2026-06-15T13:49:30.545545+00:00,20.0
4FGL J1159.5+2914,weekly,0.3,4.54e-07,2.081417786029513e-08,6.321000000000001e-07,21,60850.00001157408,2026-06-15T13:49:44.850954+00:00,20.0
