Name,weeks,potential_points,active_flare_weeks,latest_new_point_mjd,latest_new_point_flux,latest_flare_flux_threshold,latest_potential_flare_point,latest_flare_active,latest_mdp99_percent,latest_mdp99_available,latest_potential_mdp99_percent,best_potential_mdp99_percent,latest_active_mdp99_percent,best_active_mdp99_percent,peak_potential_flux,mean_potential_flux,source_average_flux,latest_new_point_flux_cosi,latest_threshold_cosi_flux,cadence_run,lookback_weeks_run,detection_method_run,confirmed_flare_weeks,latest_confirmed_flare_active,latest_confirmed_sigma_delta,flare_threshold_multiplier_run,latest_flaring_downward_steps,omit_from_attention,quiescent_background_origin,scan_csv,flare_plot,potential_flare_plot,confirmed_flare_plot
4FGL J1159.5+2914,10,0,0,60850.00001157408,1.29e-06,7.325000000000001e-07,False,False,,False,,,,,,,6.271575312395049e-05,0.0002909590950876269,0.0001652151450788269,weekly,10.0,sigma,5,True,6.189259427450255,1.0,0,False,cache,DownloadedLC/incremental/4FGL_J1159.5+2914_incremental_scan_thr1p0.csv,,,DownloadedLC/incremental/4FGL_J1159.5+2914_confirmed_last_10w_thr1p0.png
4FGL J2232.6+1143,10,0,0,60850.00001157408,5.2e-07,2.732857142857143e-07,False,False,,False,,,,,,,0.00015485950992271804,0.0001305261951410176,6.859797013867218e-05,weekly,10.0,sigma,4,True,4.448201300426174,1.0,0,False,cache,DownloadedLC/incremental/4FGL_J2232.6+1143_incremental_scan_thr1p0.csv,,,DownloadedLC/incremental/4FGL_J2232.6+1143_confirmed_last_10w_thr1p0.png
4FGL J2202.7+4216,10,0,0,60850.00001157408,3.38e-07,1.6677777777777778e-07,False,False,,False,,,,,,,0.00013535847990209148,9.962473724107902e-05,4.915737363539107e-05,weekly,10.0,sigma,3,True,4.326737919029179,1.0,0,False,cache,DownloadedLC/incremental/4FGL_J2202.7+4216_incremental_scan_thr1p0.csv,,,DownloadedLC/incremental/4FGL_J2202.7+4216_confirmed_last_10w_thr1p0.png
4FGL J1642.9+3948,10,0,0,60850.00001157408,1.68e-07,1.376666666666667e-07,False,False,,False,,,,,,,0.00021207907001764676,0.000277325290706532,0.00022725266877340823,weekly,10.0,sigma,5,True,0.6641420981322609,1.0,0,False,cache,DownloadedLC/incremental/4FGL_J1642.9+3948_incremental_scan_thr1p0.csv,,,DownloadedLC/incremental/4FGL_J1642.9+3948_confirmed_last_10w_thr1p0.png
4FGL J1229.0+0202,10,0,0,60850.00001157408,5.4e-07,6.624999999999999e-07,False,False,,False,,,,,,,0.0009604726445804383,0.0016381552601439052,0.002009773814528402,weekly,10.0,sigma,2,False,-2.0245275025082132,1.0,0,False,cache,DownloadedLC/incremental/4FGL_J1229.0+0202_incremental_scan_thr1p0.csv,,,
4FGL J2253.9+1609,10,0,0,60850.00001157408,4.82e-07,,False,False,,False,,,,,,,0.0004830491378091973,0.00018167943573794753,,weekly,10.0,sigma,0,False,,1.0,0,False,computed,DownloadedLC/incremental/4FGL_J2253.9+1609_incremental_scan_thr1p0.csv,,,
4FGL J1129.8-1447,10,0,0,60850.00001157408,3.09e-07,,False,False,,False,,,,,,,0.0003987449847774464,0.0005181796639349913,,weekly,10.0,sigma,0,False,,1.0,0,False,computed,DownloadedLC/incremental/4FGL_J1129.8-1447_incremental_scan_thr1p0.csv,,,
4FGL J0224.2+0700,1,0,0,60794.00001157408,2.81e-07,,False,False,,False,,,,,,,0.000153852143765911,0.000547347967168943,,weekly,10.0,sigma,0,False,,1.0,0,False,computed,DownloadedLC/incremental/4FGL_J0224.2+0700_incremental_scan_thr1p0.csv,,,
4FGL J1357.1+1921,3,0,0,60731.00001157408,2.03e-07,,False,False,,False,,,,,,,0.000101729047578724,0.0002817161356530879,,weekly,10.0,sigma,0,False,,1.0,0,False,computed,DownloadedLC/incremental/4FGL_J1357.1+1921_incremental_scan_thr1p0.csv,,,
4FGL J1941.3-6210,3,0,0,60843.00001157408,1.76e-07,,False,False,,False,,,,,,,0.00023952590170594874,0.00018179939773034422,,weekly,10.0,sigma,0,False,,1.0,0,False,computed,DownloadedLC/incremental/4FGL_J1941.3-6210_incremental_scan_thr1p0.csv,,,
