Name,weeks,potential_points,active_flare_weeks,had_any_detection,had_potential_flare_points,had_active_flare_weeks,had_confirmed_flare_weeks,latest_new_point_mjd,latest_new_point_flux,latest_flare_flux_threshold,latest_potential_flare_point,latest_flare_active,latest_mdp99_percent,latest_mdp99_available,latest_potential_mdp99_percent,best_potential_mdp99_percent,latest_active_mdp99_percent,best_active_mdp99_percent,peak_potential_flux,mean_potential_flux,source_average_flux,latest_new_point_flux_cosi,latest_threshold_cosi_flux,cadence_run,lookback_weeks_run,detection_method_run,confirmed_flare_weeks,latest_confirmed_flare_active,latest_confirmed_sigma_delta,flare_threshold_multiplier_run,latest_flaring_downward_steps,omit_from_attention,quiescent_background_origin,scan_csv,source_json,flare_plot,potential_flare_plot,confirmed_flare_plot
4FGL J2253.9+1609,29,0,0,False,False,False,False,60850.00001157408,4.82e-07,2.2877557793764982e-06,False,False,,False,,,,,,,0.0004830491378091973,0.00018167943573794753,0.0008623198736584037,weekly,10.0,both,0,False,-13.267588798303079,2.0,0,False,cache,DownloadedLC/incremental/4FGL_J2253.9+1609_incremental_scan_thr2p0.csv,Sources/4FGL_J2253.9+1609.json,,,
4FGL J1256.1-0547,29,0,0,False,False,False,False,60850.00001157408,1.63e-07,1.0554848642266826e-06,False,False,,False,,,,,,,0.00018138129828461876,5.070844942896363e-05,0.00032835583350107535,weekly,10.0,both,0,False,-10.515179458344734,2.0,0,False,cache,DownloadedLC/incremental/4FGL_J1256.1-0547_incremental_scan_thr2p0.csv,Sources/4FGL_J1256.1-0547.json,,,
4FGL J2151.8-3027,29,0,0,False,False,False,False,60850.00001157408,1.18e-07,2.540805249343832e-07,False,False,,False,,,,,,,0.00043610574040681176,0.00036938563981454646,0.0007953703158246015,weekly,10.0,both,0,False,-0.1326537813128587,2.0,0,False,cache,DownloadedLC/incremental/4FGL_J2151.8-3027_incremental_scan_thr2p0.csv,Sources/4FGL_J2151.8-3027.json,,,
4FGL J0227.2+3928,29,0,0,False,False,False,False,60619.00001157408,1.04e-07,1.413190476190476e-07,False,False,,False,,,,,,,0.00016762224429710826,0.00024213503198424808,0.00032902203956943816,weekly,10.0,both,0,False,0.6440267026671003,2.0,0,False,cache,DownloadedLC/incremental/4FGL_J0227.2+3928_incremental_scan_thr2p0.csv,Sources/4FGL_J0227.2+3928.json,,,
4FGL J2143.5+1743,29,0,0,False,False,False,False,60745.00001157408,1.03e-07,2.4048100719424466e-07,False,False,,False,,,,,,,0.00015257383456004385,0.00010285087423778396,0.00024013283327680465,weekly,10.0,both,0,False,-0.36330441874349945,2.0,0,False,cache,DownloadedLC/incremental/4FGL_J2143.5+1743_incremental_scan_thr2p0.csv,Sources/4FGL_J2143.5+1743.json,,,
4FGL J1512.8-0906,29,0,0,False,False,False,False,60850.00001157408,8.78e-08,9.205508997429306e-07,False,False,,False,,,,,,,0.0002583128031890097,3.794656642481313e-05,0.00039785587545007524,weekly,10.0,both,0,False,-14.041831757301935,2.0,0,False,cache,DownloadedLC/incremental/4FGL_J1512.8-0906_incremental_scan_thr2p0.csv,Sources/4FGL_J1512.8-0906.json,,,
4FGL J0841.3+7053,29,0,0,False,False,False,False,60843.00001157408,7.27e-08,2.427492069632496e-07,False,False,,False,,,,,,,0.00019057540035632766,0.00010036772580813826,0.00033513323032504044,weekly,10.0,both,0,False,-1.7998358701717896,2.0,0,False,cache,DownloadedLC/incremental/4FGL_J0841.3+7053_incremental_scan_thr2p0.csv,Sources/4FGL_J0841.3+7053.json,,,
4FGL J0403.9-3605,29,0,0,False,False,False,False,60843.00001157408,6.44e-08,3.692024353120244e-07,False,False,,False,,,,,,,7.332626902591702e-05,2.190594788798676e-05,0.0001255858588208542,weekly,10.0,both,0,False,-3.810792919412677,2.0,0,False,cache,DownloadedLC/incremental/4FGL_J0403.9-3605_incremental_scan_thr2p0.csv,Sources/4FGL_J0403.9-3605.json,,,
4FGL J1332.0-0509,29,0,0,False,False,False,False,60850.00001157408,6.15e-08,2.839942005420054e-07,False,False,,False,,,,,,,0.00012045095536515351,4.852532385283379e-05,0.00022407984640044617,weekly,10.0,both,0,False,-3.294324848689986,2.0,0,False,cache,DownloadedLC/incremental/4FGL_J1332.0-0509_incremental_scan_thr2p0.csv,Sources/4FGL_J1332.0-0509.json,,,
4FGL J0625.8-5441,29,0,0,False,False,False,False,60787.00001157408,5.93e-08,1.171588235294118e-07,False,False,,False,,,,,,,0.0005843739326743911,0.000551212471175183,0.0010890287459970362,weekly,10.0,both,0,False,0.018572787157709953,2.0,0,False,cache,DownloadedLC/incremental/4FGL_J0625.8-5441_incremental_scan_thr2p0.csv,Sources/4FGL_J0625.8-5441.json,,,
4FGL J1224.9+2122,29,0,0,False,False,False,False,60850.00001157408,4.24e-08,5.114882831858409e-07,False,False,,False,,,,,,,0.00011038492816447398,1.4280764282592945e-05,0.0001722746133369137,weekly,10.0,both,0,False,-6.1548354100428275,2.0,0,False,cache,DownloadedLC/incremental/4FGL_J1224.9+2122_incremental_scan_thr2p0.csv,Sources/4FGL_J1224.9+2122.json,,,
4FGL J2147.3-7536,29,0,0,False,False,False,False,60633.00001157408,3.06e-08,2.752759206798868e-07,False,False,,False,,,,,,,0.00010497458525027386,1.9971046176161533e-05,0.0001796584353948823,weekly,10.0,both,0,False,-5.449785044575574,2.0,0,False,cache,DownloadedLC/incremental/4FGL_J2147.3-7536_incremental_scan_thr2p0.csv,Sources/4FGL_J2147.3-7536.json,,,
4FGL J1615.6+2130,29,0,0,False,False,False,False,60815.00001157408,2.93e-08,1.4549476635514018e-07,False,False,,False,,,,,,,0.0008581888068159021,0.00034420006706553576,0.0017091914108233344,weekly,10.0,both,0,False,-1.7108024957567647,2.0,0,False,cache,DownloadedLC/incremental/4FGL_J1615.6+2130_incremental_scan_thr2p0.csv,Sources/4FGL_J1615.6+2130.json,,,
4FGL J1153.4+4931,29,0,0,False,False,False,False,60836.00001157408,2.71e-08,1.430068604651163e-07,False,False,,False,,,,,,,7.73580433786346e-05,2.5372389204441025e-05,0.0001338902480673845,weekly,10.0,both,0,False,-2.762281545076628,2.0,0,False,cache,DownloadedLC/incremental/4FGL_J1153.4+4931_incremental_scan_thr2p0.csv,Sources/4FGL_J1153.4+4931.json,,,
4FGL J1849.2+6705,29,0,0,False,False,False,False,60843.00001157408,2.62e-08,1.3168124137931038e-07,False,False,,False,,,,,,,3.0466128391912254e-05,9.32092868927846e-06,4.684700231344336e-05,weekly,10.0,both,0,False,-2.8307414455101245,2.0,0,False,cache,DownloadedLC/incremental/4FGL_J1849.2+6705_incremental_scan_thr2p0.csv,Sources/4FGL_J1849.2+6705.json,,,
4FGL J2056.2-4714,29,0,0,False,False,False,False,60787.00001157408,1.21e-09,2.5735985890652556e-07,False,False,,False,,,,,,,8.223482001687705e-05,4.783177407263152e-07,0.00010173536055025831,weekly,10.0,both,0,False,-58.99139116058399,2.0,0,False,cache,DownloadedLC/incremental/4FGL_J2056.2-4714_incremental_scan_thr2p0.csv,Sources/4FGL_J2056.2-4714.json,,,
