Name,weeks,potential_points,active_flare_weeks,latest_new_point_mjd,latest_new_point_flux,latest_flare_flux_threshold,latest_potential_flare_point,latest_flare_active,latest_mdp99_percent,latest_mdp99_available,latest_potential_mdp99_percent,best_potential_mdp99_percent,latest_active_mdp99_percent,best_active_mdp99_percent,peak_potential_flux,mean_potential_flux,source_average_flux,latest_new_point_flux_cosi,latest_threshold_cosi_flux,cadence_run,lookback_weeks_run,detection_method_run,confirmed_flare_weeks,latest_confirmed_flare_active,latest_confirmed_sigma_delta,flare_threshold_multiplier_run,latest_flaring_downward_steps,omit_from_attention,quiescent_background_origin,scan_csv,flare_plot,potential_flare_plot,confirmed_flare_plot
4FGL J1159.5+2914,29,4,2,60850.00001157408,1.29e-06,1.1460000000000001e-06,True,True,329.7354437950601,True,329.7354437950601,329.7354437950601,329.7354437950601,329.7354437950601,0.00039471195070026906,0.00034114390024808964,6.271575312395049e-05,0.0002909590950876269,0.00025847994028714767,weekly,30.0,both,20,True,10.303861315923696,3.0,1,False,cache,DownloadedLC/incremental/4FGL_J1159.5+2914_incremental_scan_thr3p0.csv,DownloadedLC/incremental/4FGL_J1159.5+2914_potential_last_30w_thr3p0.png,DownloadedLC/incremental/4FGL_J1159.5+2914_potential_last_30w_thr3p0.png,DownloadedLC/incremental/4FGL_J1159.5+2914_confirmed_last_30w_thr3p0.png
4FGL J1229.0+0202,29,2,0,60850.00001157408,5.4e-07,1.4758125e-06,False,False,,False,43.06718060904325,38.26855081314641,,,0.006006569287194319,0.005657702889200709,0.0009604726445804383,0.0016381552601439052,0.004477055573816902,weekly,30.0,both,20,True,0.8384959024397711,3.0,0,False,cache,DownloadedLC/incremental/4FGL_J1229.0+0202_incremental_scan_thr3p0.csv,,,DownloadedLC/incremental/4FGL_J1229.0+0202_confirmed_last_30w_thr3p0.png
4FGL J2232.6+1143,29,2,0,60850.00001157408,5.2e-07,1.1254615384615386e-06,False,False,,False,776.6598276347689,659.5998177534343,,,0.0003489065600884894,0.0003225503091465531,0.00015485950992271804,0.0001305261951410176,0.000282504254601809,weekly,30.0,both,22,True,2.630456091077252,3.0,0,False,cache,DownloadedLC/incremental/4FGL_J2232.6+1143_incremental_scan_thr3p0.csv,,,DownloadedLC/incremental/4FGL_J2232.6+1143_confirmed_last_30w_thr3p0.png
4FGL J2253.9+1609,29,0,0,60850.00001157408,4.82e-07,1.2152400000000005e-06,False,False,,False,,,,,,,0.0004830491378091973,0.00018167943573794753,0.00045805833503357565,weekly,30.0,both,9,True,1.5049522815915808,3.0,0,False,cache,DownloadedLC/incremental/4FGL_J2253.9+1609_incremental_scan_thr3p0.csv,,,DownloadedLC/incremental/4FGL_J2253.9+1609_confirmed_last_30w_thr3p0.png
4FGL J1642.9+3948,29,0,0,60850.00001157408,1.68e-07,4.373400000000002e-07,False,False,,False,,,,,,,0.00021207907001764676,0.000277325290706532,0.0007219371585571117,weekly,30.0,both,11,True,0.4983312628733244,3.0,0,False,cache,DownloadedLC/incremental/4FGL_J1642.9+3948_incremental_scan_thr3p0.csv,,,DownloadedLC/incremental/4FGL_J1642.9+3948_confirmed_last_30w_thr3p0.png
4FGL J2202.7+4216,29,1,0,60850.00001157408,3.38e-07,8.988214285714287e-07,False,False,,False,447.79842812930895,447.79842812930895,,,0.0004981236862053951,0.0004981236862053951,0.00013535847990209148,9.962473724107902e-05,0.0002649255877162126,weekly,30.0,both,11,False,0.9956014694611727,3.0,0,False,cache,DownloadedLC/incremental/4FGL_J2202.7+4216_incremental_scan_thr3p0.csv,,,
4FGL J1129.8-1447,29,1,0,60850.00001157408,3.09e-07,7.645714285714287e-07,False,False,,False,170.91981469330065,170.91981469330065,,,0.0012979645950992988,0.0012979645950992988,0.0003987449847774464,0.0005181796639349913,0.0012821532877392854,weekly,30.0,both,12,False,1.346269379199155,3.0,0,False,cache,DownloadedLC/incremental/4FGL_J1129.8-1447_incremental_scan_thr3p0.csv,,,
4FGL J0224.2+0700,3,0,0,60794.00001157408,2.81e-07,,False,False,,False,,,,,,,0.000153852143765911,0.000547347967168943,,weekly,30.0,both,0,False,,3.0,0,False,computed,DownloadedLC/incremental/4FGL_J0224.2+0700_incremental_scan_thr3p0.csv,,,
4FGL J1357.1+1921,6,0,0,60731.00001157408,2.03e-07,,False,False,,False,,,,,,,0.000101729047578724,0.0002817161356530879,,weekly,30.0,both,0,False,,3.0,0,False,computed,DownloadedLC/incremental/4FGL_J1357.1+1921_incremental_scan_thr3p0.csv,,,
4FGL J1941.3-6210,6,0,0,60843.00001157408,1.76e-07,,False,False,,False,,,,,,,0.00023952590170594874,0.00018179939773034422,,weekly,30.0,both,0,False,,3.0,0,False,computed,DownloadedLC/incremental/4FGL_J1941.3-6210_incremental_scan_thr3p0.csv,,,
4FGL J1256.1-0547,28,0,0,60850.00001157408,1.63e-07,,False,False,,False,,,,,,,0.00018138129828461876,5.070844942896363e-05,,weekly,30.0,both,0,False,,3.0,0,False,computed,DownloadedLC/incremental/4FGL_J1256.1-0547_incremental_scan_thr3p0.csv,,,
4FGL J1814.4+2953,2,0,0,60780.00001157408,1.52e-07,,False,False,,False,,,,,,,0.000510368447572443,0.0009173951903076862,,weekly,30.0,both,0,False,,3.0,0,False,computed,DownloadedLC/incremental/4FGL_J1814.4+2953_incremental_scan_thr3p0.csv,,,
4FGL J1800.6+7828,29,1,0,60850.00001157408,1.33e-07,2.1131052631578948e-07,False,False,,False,2569.9454653308744,2569.9454653308744,,,8.675545891377511e-05,8.675545891377511e-05,4.183907829549679e-05,4.4896793912576236e-05,7.133206880870689e-05,weekly,30.0,both,14,False,1.7374313108035964,3.0,0,False,cache,DownloadedLC/incremental/4FGL_J1800.6+7828_incremental_scan_thr3p0.csv,,,
4FGL J0530.9+1332,4,0,0,60850.00001157408,1.21e-07,,False,False,,False,,,,,,,0.00020033117937064476,0.00020016402759208613,,weekly,30.0,both,0,False,,3.0,0,False,computed,DownloadedLC/incremental/4FGL_J0530.9+1332_incremental_scan_thr3p0.csv,,,
